,num_services,has_phone_service,has_internet_service,has_online_security,has_online_backup,has_device_protection,has_tech_support,has_streaming_tv,has_streaming_movies,num_services_x_internet,phone_without_internet,high_service_count_flag,service_diversity_index,churn
num_services,1.0,-0.000568395733875113,0.00026273175193273205,0.0007218527545427004,0.00039237185461121873,0.0015566218526091534,-0.0003034137567889073,-0.0016230130506981351,0.0006256689481885812,0.75421809104467,0.00012494933931789487,0.8253942205505389,-0.6383003925856243,-0.03337763092707845
has_phone_service,-0.000568395733875113,1.0,0.171257353731323,0.051757331992846545,0.06318892981701787,0.048208390499385745,0.04181015672435314,0.00390726578544309,-0.00022277234481332797,0.0978055079254206,0.1719493236399626,-0.0007170888404565026,0.04752627337577465,-0.002273511526027815
has_internet_service,0.00026273175193273205,0.171257353731323,1.0,0.3014586496362295,0.36205796421125697,0.27337644827426866,0.24974268799917285,-0.0015235525640535177,-6.994308091718626e-05,0.5754097883781188,-0.7472337885674379,0.0006070430386447476,0.26684461776348833,-0.015261448032357518
has_online_security,0.0007218527545427004,0.051757331992846545,0.3014586496362295,1.0,0.10999812407593013,0.0829852645587604,0.0755936340891904,-0.0009587191210943102,-0.0005268054157158596,0.17403232773198876,-0.22526008886410598,0.0012297134098294494,0.2806842223476528,-0.03410621224499965
has_online_backup,0.00039237185461121873,0.06318892981701787,0.36205796421125697,0.10999812407593013,1.0,0.09960714346028926,0.08982682620017686,-0.0005100181549836844,-0.0035586417600724928,0.20859537352628674,-0.2705419442785757,0.0009926219799149378,0.2963801679085945,-0.004919450768678082
has_device_protection,0.0015566218526091534,0.048208390499385745,0.27337644827426866,0.0829852645587604,0.09960714346028926,1.0,0.06890679902845842,-0.00021096600225964146,-0.0008600786006990043,0.15862059036456683,-0.2042761191490876,0.0016739529170910136,0.2700096598154002,-0.004908193662943507
has_tech_support,-0.0003034137567889073,0.04181015672435314,0.24974268799917285,0.0755936340891904,0.08982682620017686,0.06890679902845842,1.0,-0.00128365381853921,2.5613751830302957e-05,0.1428803809819056,-0.1871947069417881,-0.00021874778919031896,0.2856774096437035,-0.04547698617663511
has_streaming_tv,-0.0016230130506981351,0.00390726578544309,-0.0015235525640535177,-0.0009587191210943102,-0.0005100181549836844,-0.00021096600225964146,-0.00128365381853921,1.0,0.0005615649279555366,-0.002629021420016709,0.0023860945820277273,-0.001162884418189286,0.2294281834290755,0.0006949999261211795
has_streaming_movies,0.0006256689481885812,-0.00022277234481332797,-6.994308091718626e-05,-0.0005268054157158596,-0.0035586417600724928,-0.0008600786006990043,2.5613751830302957e-05,0.0005615649279555366,1.0,0.00034658206263740775,-0.00036132714626859965,0.0002947459210452767,0.23127520540554308,0.0019147700429882361
num_services_x_internet,0.75421809104467,0.0978055079254206,0.5754097883781188,0.17403232773198876,0.20859537352628674,0.15862059036456683,0.1428803809819056,-0.002629021420016709,0.00034658206263740775,1.0,-0.4299656361485607,0.6228021658776847,-0.37052202172860166,-0.03395460555046816
phone_without_internet,0.00012494933931789487,0.1719493236399626,-0.7472337885674379,-0.22526008886410598,-0.2705419442785757,-0.2042761191490876,-0.1871947069417881,0.0023860945820277273,-0.00036132714626859965,-0.4299656361485607,1.0,-0.0002915009368575863,-0.1993620803830755,0.011442942749629077
high_service_count_flag,0.8253942205505389,-0.0007170888404565026,0.0006070430386447476,0.0012297134098294494,0.0009926219799149378,0.0016739529170910136,-0.00021874778919031896,-0.001162884418189286,0.0002947459210452767,0.6228021658776847,-0.0002915009368575863,1.0,-0.4217416011727817,-0.027338667912119804
service_diversity_index,-0.6383003925856243,0.04752627337577465,0.26684461776348833,0.2806842223476528,0.2963801679085945,0.2700096598154002,0.2856774096437035,0.2294281834290755,0.23127520540554308,-0.37052202172860166,-0.1993620803830755,-0.4217416011727817,1.0,0.0005227495771631401
churn,-0.03337763092707845,-0.002273511526027815,-0.015261448032357518,-0.03410621224499965,-0.004919450768678082,-0.004908193662943507,-0.04547698617663511,0.0006949999261211795,0.0019147700429882361,-0.03395460555046816,0.011442942749629077,-0.027338667912119804,0.0005227495771631401,1.0
